audio_file|text|speaker_name
wavs/VietMed_007_a_0.wav|từ đầu chương trình đến giờ thì cái biến chứng gây ra ở các cơ quan đặc biệt là|VietMed_007_a
wavs/VietMed_007_a_1.wav|não đột quỵ đó thì nó liên quan đến việc hình thành các cục máu đông và việc cục máu đông đã nó trôi ra là đi|VietMed_007_a
wavs/VietMed_007_a_101.wav|ti thường thường nó liên quan đến tăng huyết áp mà chúng ta điều trị không có tốt thì cái mạch nó sẽ bị tổn thương thì|VietMed_007_a
wavs/VietMed_007_a_102.wav|khi mà bị đột quỵ thì thường các bác sĩ đột quỵ tôi sẽ phải khảo sát toàn bộ để|VietMed_007_a
wavs/VietMed_007_a_104.wav|việc truy tìm hơn do đó nên có những trường hợp mình tìm thì sẽ đăng nguyên|VietMed_007_a
wavs/VietMed_007_a_105.wav|nhân nhưng mà có một số trường hợp thì mình đã làm hết tất cả các cái khảo sát điểm thông thường mà mình vẫn không|VietMed_007_a
wavs/VietMed_007_a_106.wav|thấy được những nguyên nhân nào làm nguyên nhân chính gây ra cái tình trạng đột quỵ của người bệnh thì cái tỷ lệ mà gọi là|VietMed_007_a
wavs/VietMed_007_a_107.wav|số người mà không tìm ra nguyên nhân đó thì nó cao hay thấp nó tùy thuộc vào cái phương tiện kỹ thuật của bệnh viện đó|VietMed_007_a
wavs/VietMed_007_a_108.wav|của trình độ của bệnh viện đó làm được những gì nếu mình chỉ làm được một vài cái khảo sát đơn giản thôi hoặc là|VietMed_007_a
wavs/VietMed_007_a_109.wav|không làm gì hết thì chắc chắn là sẽ không có kết luận về nguyên nhân còn nếu chúng ta có đủ các phương tiện như|VietMed_007_a
wavs/VietMed_007_a_11.wav|với cơ chế của cái hình thành cục máu đông ở trong tim giờ đó nên thuốc chống tiểu cầu không phải là cái gì|VietMed_007_a
wavs/VietMed_007_a_110.wav|chúng tôi có thể làm cái chụp các mạch máu não trên ct trên mri hoặc là|VietMed_007_a
wavs/VietMed_007_a_111.wav|chúng ta cả các siêu âm nữa rồi khảo sát về tim siêu âm tim bình thường ở|VietMed_007_a
wavs/VietMed_007_a_112.wav|bên ngoài thông thường hoặc là siêu âm tim qua đường thực quản và gắn đo điện tim monitor rồi chúng ta đo điện tim|VietMed_007_a
wavs/VietMed_007_a_114.wav|biệt là cái rung nhĩ mà nó không có xảy ra liên tục thành từng cơn vân vân rồi chúng ta có chúng tôi có những cái khảo sát về xét|VietMed_007_a
wavs/VietMed_007_a_116.wav|chưa rõ nguyên nhân thì thật ra cái khả năng mà nó do rung nhĩ vẫn có|VietMed_007_a
wavs/VietMed_007_a_117.wav|trên thế giới người ta đã làm các nghiên cứu là với những bệnh nhân giống như vậy là không có thấy ra nguyên nhân gì trong|VietMed_007_a
wavs/VietMed_007_a_118.wav|cái khảo sát thông thường thì sẽ gắn cái máy đo kéo dài hơn đo với niềm tim kéo dài hơn ba tháng sáu tháng cấy vào trong cơ|VietMed_007_a
wavs/VietMed_007_a_12.wav|đấy đúng và chỉ định chính cho việc phòng ngừa huyết khối mà liên quan đến|VietMed_007_a
wavs/VietMed_007_a_120.wav|nguyên nhân tổng quát thông thường bạn đã dùng các thuốc chống tiểu cầu cụ thể là aspirin chẳng hạn và sẽ cùng với những cái kiểm|VietMed_007_a
wavs/VietMed_007_a_122.wav|đã đề cập đến nhiều đến chuyện này thì khi bị rung nhĩ thì cái nguyên nhân cái cái cái nguy cơ trực tiếp do rung nhĩ|VietMed_007_a
wavs/VietMed_007_a_123.wav|gây ra trên các mạch máu đó chỉ là cái cục máu đông nó nó trồi lên tắc mạch não|VietMed_007_a
wavs/VietMed_007_a_125.wav|giá thêm đúng là rung nhĩ đánh giá đến mức độ của nó đánh giá nguy cơ là như thế nào và thậm chí đánh giá các nguyên|VietMed_007_a
wavs/VietMed_007_a_127.wav|nguyên nhân đó nó sẽ làm giảm thiểu còn khi mà đã có cái đánh giá đúng cái nguy cơ và có cái chỉ định dùng thuốc thì lúc|VietMed_007_a
wavs/VietMed_007_a_129.wav|ngoài cái đó ra thì chúng ta sẽ kiểm soát các yếu tố nguy cơ khác tại vì những cái khác nó cũng có thể góp phần|VietMed_007_a
wavs/VietMed_007_a_130.wav|thêm tăng huyết áp đái tháo đường là các xơ vữa động mạch nó cũng có thể cùng hiện diện trên người bệnh và ta cũng cần|VietMed_007_a
wavs/VietMed_007_a_131.wav|phải điều chỉnh thêm nữa thì chúng ta cần phải tuân thủ những điểm đó thì chúng ta mới có thể giảm thiểu được các nguy cơ bị đột quỵ hoặc là bị nhồi máu cơ tim liên|VietMed_007_a
wavs/VietMed_007_a_133.wav|thường gặp khá là phổ biến thì như thế này cái người bị rung nhĩ|VietMed_007_a
wavs/VietMed_007_a_135.wav|cái các bệnh khác trong đó có rối loạn về mỡ máu rồi cholesterol do đó nên|VietMed_007_a
wavs/VietMed_007_a_136.wav|thậm chí là cái tăng huyết áp nó cũng có thể là nguồn cơn gây ra cái rung nhĩ nữa và nó có liên quan nhiều nữa do|VietMed_007_a
wavs/VietMed_007_a_137.wav|đó nên mình có đồng ý hay không thì mình vẫn phải theo dõi nhưng phải đánh giá về huyết áp và kể cả cái cholesterol|VietMed_007_a
wavs/VietMed_007_a_138.wav|nữa thì nếu có các tình trạng này thì mình phải phối hợp chế độ ăn và phối hợp|VietMed_007_a
wavs/VietMed_007_a_139.wav|thuốc men để chúng ta điều trị cho nó tốt cùng giảm được tất cả các nguy cơ gây ra các bệnh tim mạch nói chung và cái đột|VietMed_007_a
wavs/VietMed_007_a_14.wav|đông ở đây chúng ta dùng trên trong cái ý nghĩa là phòng ngừa lâu dài thì đó là thuốc kháng đông uống thuốc kháng đông dùng|VietMed_007_a
wavs/VietMed_007_a_141.wav|nếu mình có nguy cơ thì mình có cái máy đo huyết áp tại nhà là mình có thể theo dõi rất là thường xuyên còn đối với|VietMed_007_a
wavs/VietMed_007_a_142.wav|cholesterol thì nếu mà những cái kiểm tra sức khỏe thông thường của mình mà nó nó không có bất thường không có|VietMed_007_a
wavs/VietMed_007_a_143.wav|rối loạn thì chúng ta có thể là sáu tháng một năm chúng ta kiểm tra lại và nếu mà mình đã|VietMed_007_a
wavs/VietMed_007_a_144.wav|có những cái xét nghiệm mà đã thấy có thay đổi rồi và mình điều trị bằng chế độ ăn hoặc là|VietMed_007_a
wavs/VietMed_007_a_145.wav|bằng thuốc hoặc là cả hai thì rõ chúng ta sẽ phải kiểm tra xem là nó có đạt được kết quả mong muốn hay chưa thì có|VietMed_007_a
wavs/VietMed_007_a_146.wav|thể là ba tháng cũng đã phải kiểm tra rồi mình vẫn thì như vậy ta khẳng định là cái rung nhĩ không phải bệnh một|VietMed_007_a
wavs/VietMed_007_a_147.wav|mình nó đi không còn khác nữa là chúng ta sẽ phải kiểm soát những cái yếu tố khác trong đó đặc biệt là cái tăng|VietMed_007_a
wavs/VietMed_007_a_148.wav|huyết áp là cả cái tăng cholesterol nữa ta phải cùng kiểm soát là cùng theo dõi sẽ|VietMed_007_a
wavs/VietMed_007_a_15.wav|đường uống thì về mặt kinh điển từ xưa đến giờ đó thì cái thuốc mà các|VietMed_007_a
wavs/VietMed_007_a_150.wav|tim mạch nói chung thì các cái biện pháp và khuyến khích vẫn là nên tập thể dục thì tập thể dục thì một cái nguyên tắc|VietMed_007_a
wavs/VietMed_007_a_151.wav|chung đó là tập thể dục vừa sức và nó chạy đều ra thì nó nó sẽ tốt hơn cho sức khỏe của mình hơn là những cái tập|VietMed_007_a
wavs/VietMed_007_a_152.wav|những cái bài tập mà nó dùng cái sức mạnh nhiều quá mà nó trong thời gian ngắn ví dụ nôm na cụ thể như|VietMed_007_a
